id,open_edges
10,12-24008-24018-26078-30584-30592-30594-30684-33872-36752-38476-38578-38582-44652-47742-51222-53744-63820-65662-66872-70182-107852-129322-131300-145950-154478
11,13-14
12,15-18-28-366-468-478-582-634-1034-1130-1222-1322-1986-2092-2660-2740-2780-2784-2792-2880-2932-3248-3510-3668-3830-3894-3950-5126-6114-6248-6666-7152-8060-8220-8268-8382-8438-8714-9344-9460-9704-9928-10244-10348-10528-10810-12852-13004-15358-15876-17107-18306-23298-23416-25718-25946-26154-26236-34908-44730-51612-54208-61346-65714-68310-70546-77240-80074-82708-82816-85050-86438-89464-93126-98110-98146-98364-98412-98460-98548-104184-106202-112452-113748-116810-122616-126374-131688-139684-140094-148386-149846-156788
13,17
14,19
15,21-482-4212-6280-11104-17260-17262-24314-35598-35620
16,22-844-2248-2432-3194-5916-6784-8734-8784-8942-9110-9114-9844-10372-10460-10624-10796-19750-28556-30970-72442-114198-151640-153838
17,23-54-72-1499-3504-8250-8254-9282-9362-12088-12250-12336-21042-21692-24270-24272-24322-24362-24364-28062-34618-34624-35696-36658-51224-55196-55266-55692-57474-57564-58446-58450-60910-61762-61780-61984-62124-62608-62748-62784-62926-63862-64186-76358-77460-78262-78266-83966-93310-93408-94612-101922-101944-102132-104306-105610-105612-109266-111542-111574-114944-116758-119010-120420-121840-123862-123898-128326-133510-133518-133900-133992-134324-134420-134478-134724-136220-136634-137120-137252-141404-143296-144626-146242-146284
18,24-36-66-306-1706-4452-4468-4736-4758-5434-5482-6546-9198-9778-10104-10108-10826-12620-17829-19562-20902-24216-37782-37784-37786-37788-37808-37812-37814-76732-86676-86860-99782-113800-130202
19,25-27-46
20,29-42-48-74-114-130-144-216-224-240-250-314-360-412-436-488-526-532-638-656-842-996-1116-1138-1228-1300-1388-1406-1506-1532-1892-2006-2448-2994-3042-3366-3432-3490-3815-3842-3854-3858-3860-3944-4006-4420-4930-7240-7814-8266-9854-10380-10616-12640-14174-18304-22376-22378-26258-29296-31558-44342-47870-48104-51910-55418-60318-61904-61906-62162-64698-64700-64962-65608-81710-85568-112750-124560-132138-138802-141020-146218-146842-149192-149194-151804-156954
21,31-104442
22,35
23,37
24,39-41-43-44
25,45-50-52-62-136-166-246-302-336-374-556-628-644-1090-1268-1386-1518-2046-2214-2322-3018-3764-4150-4414-4502-4520-4528-4786-5034-5224-5580-5726-6324-6436-6474-8964-10300-10326-10502-10678-10858-12472-14614-14962-15880-17098-17278-17812-18720-18752-18896-18912-19752-21110-22470-24210-26294-26330-27250-28812-34482-35102-44316-44940-53796-60376-61616-61950-62566-64454-75408-77950-83528-90967-104804-105510-108366-110304-112948-113368-115150-134496-138324-144458-147272-147318-151484-159408
26,47-174-258-270-304-310-380-448-502-612-632-918-1066-1078-1104-1526-1914-1938-2020-3786-5446-5598-6102-6132-8042-8328-10292-10474-13174-13294-17310-20800-21600-24286-24288-26898-26900-27106-29998-30185-30406-31882-32132-33038-33040-33818-40722-40724-40726-88166-88168-88170-88172-89216-89218-126304-126306-126308-126318-126320-126322-126324-127546-159964
27,49
28,51
29,53-64-67-75-76-420-422-470-938-940-8550-8552-8554-8556
30,55-56-58-63-88-98-169-212-238-292-300-326-376-434-494-540-1054-1186-1382-1542-1561-1592-1898-2184-2272-2570-2996-3012-7982-9742-12144-14196-27792-42498-54942-55268-58926-65742-67978-68012-68140-68398-84722-90290-94392-115422-126752-145526-145876-153836-154058-155650
31,57-972-989-4652-7810-9228
32,59
33,61-126-134-318
34,65-268-352-490-814-960-1376-1400-1638-2674-5172-5566-5646-5900-7830-8002-9290-12466-15728-15808-16182-16278-16322-16804-16806-16808-18888-22266-22292-22632-22972-22980-23066-23334-23928-28460-29134-30092-30112-30114-36526-44508-46354-62290-62292-65008-65580-69854-70409-74316-78054-88608-90908-94512-103170-111372-112194-142566
35,68-77-82-84-108-110-112-116-127-135-176-196-204-217-220-226-254-266-290-319-328-398-402-424-444-472-486-496-514-518-554-558-590-616-636-780-862-946-966-1020-1046-1124-1168-1230-1256-1282-1302-1364-1472-1582-1594-1672-1798-1806-1834-1840-1842-1864-1934-2018-2080-2098-2134-2218-2228-2328-2330-2332-2394-2402-2596-2638-2668-2704-2722-2892-2982-3186-3228-3260-3448-3544-3594-3608-3632-3694-3738-3754-3774-3824-3852-3984-4022-4232-4258-4282-4384-4386-4438-4584-4616-4620-4632-4702-4737-4744-4760-4766-4780-4788-4796-4890-4952-4974-4990-5052-5072-5116-5160-5180-5252-5278-5280-5346-5394-5472-5484-5596-5600-5670-5782-5809-5822-5850-5906-6118-6152-6252-6272-6276-6348-6426-6450-6658-6972-6974-6990-6998-7142-7176-7426-7487-7488-7524-7570-7616-7628-7630-7838-7844-7846-7848-7900-8084-8094-8100-8126-8240-8290-8314-8322-8356-8490-8512-8570-8590-8622-8624-8668-8750-8754-8782-8856-8858-8864-8882-8888-8916-8928-8970-8974-8984-9048-9050-9122-9144-9154-9162-9172-9229-9240-9246-9276-9292-9294-9308-9324-9388-9396-9398-9482-9598-9602-9678-9716-9734-9746-9792-9842-9845-9858-9906-9974-10064-10146-10150-10216-10218-10228-10250-10252-10276-10284-10384-10408-10414-10444-10470-10472-10494-10540-10610-10628-10636-10654-10690-10748-10784-10876-10934-10938-10960-10966-10996-11002-11008-11026-11086-11246-11280-11308-11310-11318-11322-11432-11458-11636-11638-11698-11706-11738-11760-11832-11868-11962-12002-12050-12066-12100-12106-12192-12212-12246-12251-12256-12266-12286-12322-12408-12420-12428-12430-12454-12458-12474-12546-12568-12586-12592-12604-12608-12720-12728-12730-12740-12796-12836-12892-12894-12898-12906-12916-12918-12962-13000-13034-13070-13094-13110-13136-13152-13172-13182-13194-13222-13230-13254-13324-13330-13334-13342-13368-13390-13460-13622-13712-13778-13832-13844-13850-13858-13862-13882-13902-13954-13986-14014-14046-14200-14224-14302-14308-14320-14340-14342-14392-14412-14418-14426-14444-14454-14458-14502-14504-14506-14536-14544-14546-14646-14648-14672-14680-14720-14724-14740-14744-14746-14802-14808-14820-14834-14850-14862-14882-14890-14966-14968-14974-14986-14990-14992-15008-15034-15044-15054-15140-15156-15270-15290-15292-15334-15352-15354-15360-15412-15440-15444-15452-15472-15556-15558-15578-15676-15696-15706-15724-15778-15838-16018-16058-16060-16078-16126-16158-16266-16294-16368-16400-16406-16410-16466-16552-16596-16660-16698-16744-16750-16752-16768-16800-16814-16896-16930-16932-16934-16936-16938-17026-17058-17062-17086-17238-17298-17312-17434-17436-17452-17466-17578-17636-17644-17652-17684-17794-17800-17834-17878-18238-18468-18470-18474-18494-18684-18876-19098-19140-19144-19170-19206-19224-19258-19286-19370-19406-19496-19652-19660-19844-19846-19854-19860-19916-19978-19988-20084-20384-20386-20412-20716-20820-20852-20896-20898-20922-20928-20980-20988-21000-21030-21072-21086-21090-21130-21144-21150-21156-21166-21176-21180-21182-21198-21236-21354-21360-21394-21420-21442-21452-21494-21560-21574-21588-21642-21652-21668-21722-21760-21790-21796-21984-22006-22040-22098-22146-22242-22328-22364-22402-22438-22618-22624-22756-22774-22794-22808-22870-22880-22882-22904-22946-22998-23168-23206-23214-23226-23280-23348-23350-23366-23380-23392-23396-23400-23542-23908-23910-23916-23936-23984-23996-24000-24012-24028-24052-24074-24082-24150-24154-24206-24294-24298-24328-24336-24422-24516-24518-24652-24690-24730-24868-24870-24882-24928-24954-25022-25054-25114-25116-25118-25242-25270-25274-25284-25312-25340-25854-25908-25914-25976-25986-26102-26156-26164-26295-26384-26400-26444-26498-26572-26582-26762-26786-26808-26832-26880-26994-27064-27150-27194-27224-27228-27284-27326-27348-27370-27436-27474-27564-27648-27868-27920-27936-27972-28014-28040-28046-28094-28210-28214-28226-28316-28416-28424-28428-28450-28504-28520-28542-28680-28766-28824-28826-28858-29080-29166-29174-29226-29266-29320-29328-29342-29372-29380-29468-29510-29554-29580-29738-29752-29774-29784-29810-29850-29882-29906-30056-30090-30318-30342-30344-30398-30474-30494-30528-30548-30654-30656-30868-30886-30888-30972-31104-31152-31210-31220-31262-31372-31420-31446-31570-31620-31660-31728-31802-32068-32116-32140-32156-32172-32254-32268-32346-32408-32468-32544-32586-32602-32730-32960-32970-33036-33170-33298-33308-33354-33394-33512-33556-33570-33590-33724-33830-33838-34054-34078-34150-34254-34308-34364-34380-34386-34412-34526-34540-34622-34718-34750-34786-34818-34844-34944-34992-35022-35074-35154-35156-35204-35332-35400-35454-35586-35599-35668-35750-35908-35986-35990-36028-36032-36076-36118-36170-36314-36442-36486-36504-36532-36618-36620-36632-36686-36698-36724-36766-36908-36998-37010-37026-37130-37152-37204-37236-37332-37392-37444-37530-37546-37810-38010-38024-38046-38088-38118-38126-38180-38198-38356-38414-38416-38458-38608-38688-38696-38766-38826-38988-38998-39088-39164-39265-39328-39334-39368-39394-39402-39474-39640-39642-39674-39838-40032-40152-40250-40258-40338-40526-40530-40538-40576-40682-40716-40746-40992-41084-41182-41186-41214-41328-41360-41388-41442-41566-41610-41678-41816-41878-41896-41910-42040-42048-42076-42142-42214-42224-42334-42368-42448-42480-42670-43002-43076-43176-43186-43326-43504-43570-43588-43972-43996-44008-44044-44096-44352-44520-44654-44678-44810-44822-44924-44976-45084-45140-45208-45232-45240-45412-45462-45774-45892-45918-46114-46170-46378-46416-46480-46486-46582-46738-46808-46828-46842-46858-47004-47030-47040-47344-47562-47824-47980-47982-48280-48322-48324-48346-48368-48580-48730-48756-48758-48772-48860-48896-49020-49212-49258-49294-49536-50110-50412-50468-50632-50690-50708-50914-50972-51096-51122-51132-51158-51162-51220-51258-51362-51548-51574-51594-51728-51944-51970-51990-52052-52090-52122-52190-52272-52324-52368-52824-52842-53336-53358-53678-53792-54124-54178-54308-54310-54320-54344-54390-54616-54686-54730-54948-55298-55822-55906-55946-55966-56232-56292-56346-56378-56398-56606-56656-57040-57150-57198-57232-57280-57398-57454-57468-57614-57670-57706-58034-58298-58476-58778-58820-59120-59242-59280-59366-59694-59706-59846-59906-59994-60158-60244-60270-60374-60402-60444-60482-60488-60744-60840-60906-60912-60944-61190-61372-61376-61390-61542-61644-61646-61706-61756-61790-62068-62092-62142-62206-62212-62314-62366-62472-62480-62490-62516-62656-62900-62906-62988-63182-63206-63370-63398-63470-63476-63576-63616-63658-63810-63908-63916-63922-64174-64296-64376-64424-64692-64722-64822-64836-64854-65264-65548-65610-65964-66040-66430-66586-66624-66782-66948-67052-67054-67244-67262-67330-67350-67398-67492-67548-67686-67696-67730-67776-67932-67950-67962-68086-68098-68102-68262-68324-68373-68392-68504-68670-68686-69152-69202-69356-69390-69394-69456-69464-69570-69598-69642-70140-70142-70318-70650-70738-70740-70842-71164-71262-71348-71408-71588-71614-71628-71730-71956-72098-72156-72266-72270-72452-72460-72758-72776-72876-73022-73204-73400-73436-73662-73714-73724-73746-73954-74010-74148-74210-74276-74296-74356-74454-74574-74598-74738-74822-74868-75100-75160-75266-75278-75280-75302-75378-75476-75530-75678-75710-75768-75850-76038-76190-76272-76372-76380-76570-76616-76842-76910-76992-77052-77126-77296-77316-77336-77518-77526-77564-77646-77704-77784-77892-77898-77940-78006-78016-78034-78090-78160-78342-78688-78744-78750-78818-78904-78982-79020-79060-79102-79122-79146-79246-79540-79874-79984-80264-80568-80608-80692-81258-81268-81402-81766-81940-83400-83412-83514-83570-83670-83844-84010-84076-84084-84390-84456-84462-84480-84620-84678-84896-84970-85432-85612-85932-86134-86156-86164-86364-86398-86470-86482-86560-86570-86656-86710-86904-87108-87126-87190-87192-87226-87478-87744-87754-87794-87832-87880-87890-87984-87994-88038-88180-88270-88314-88482-88714-88828-88922-89024-89092-89250-89342-89444-89640-89696-89708-89742-89846-89896-89920-89942-90132-90492-90726-90958-91040-91124-91298-91358-91444-91672-91704-92004-92170-92388-92538-92768-92780-92820-92912-93036-93198-93286-93352-93698-93768-93866-94144-94350-94526-94820-94878-94906-94976-94986-95008-95496-95670-95676-95778-95796-95828-95886-95900-96090-96298-96504-96522-96584-96586-96588-96642-96658-96676-96834-96906-97166-97972-98202-98234-98240-98294-98330-98413-98502-98578-98872-98874-98902-98916-99086-99102-99208-99314-99416-99642-99706-99788-99846-99876-99906-99928-100036-100072-100254-100372-100398-100842-101062-101316-101362-101396-101426-101474-101508-101642-101644-101658-101680-101694-101850-102028-102778-102954-103020-103418-103430-103660-103714-103830-103840-103854-104058-104146-104206-104304-104940-104962-105074-105156-105418-105432-105454-105482-105504-105688-105706-106076-106358-106594-106618-106620-106794-106818-106848-107152-107216-107310-107376-107432-107580-107626-107692-107820-107844-107904-107950-108044-108088-108100-108128-108132-108148-108338-108432-108458-108462-108510-108858-108956-109028-109198-109308-109316-109376-109422-109658-109704-109734-109774-110012-110056-110214-110484-110554-110708-111016-111140-111206-111594-111640-111644-111700-111742-111824-111948-112078-112184-112208-112488-112540-112706-112752-112812-112848-112958-113296-113304-113314-113694-113714-113766-113968-114140-114146-114200-114256-114764-114908-115152-115434-115608-115648-115748-115804-116142-116166-116330-116458-116476-116510-116768-116808-116858-117042-117046-117232-117534-117810-117946-118266-118722-118936-119244-119514-119656-119948-119950-120098-120102-120114-120416-120476-120478-120486-120530-121086-121148-121232-121264-121304-121478-121740-121744-121746-121772-121820-121928-122078-122212-122250-122402-122518-122580-123152-123164-123234-123282-123324-123452-123510-123672-123706-123758-123776-123800-123816-123830-123842-124226-124256-124414-124474-124736-125188-125438-125546-125576-125824-125830-125908-126052-126078-126080-126084-126222-126332-126360-126406-126502-126524-126670-126688-126818-126998-127012-127076-127080-127124-127174-127208-127226-127286-127304-127400-127544-127586-127648-127726-128024-128028-128054-128274-128294-128488-128524-128654-128696-128968-129022-129148-129210-129294-129542-129722-129882-130062-130150-130338-130356-130358-130416-130450-130524-130542-130756-130784-130894-131102-131144-131246-131496-131554-131606-131638-131856-132024-132254-132590-132604-132896-133068-133126-133352-133366-133484-133626-133634-133764-133968-134028-134114-134218-134290-134404-134766-134794-134846-134852-134950-135092-135136-135170-135676-135724-135748-135832-135858-135912-135940-136042-136126-136242-136434-136456-136562-136600-136904-136994-137086-137294-137320-137398-137414-137824-137954-138038-138134-138146-138312-138414-138430-138460-138528-138608-138816-138848-138946-138950-139140-139410-139444-139452-139558-139626-140042-140068-140190-140228-140322-140486-140508-140602-140716-141072-141090-141136-141152-141250-141344-141450-141544-141576-141666-141840-141950-142086-142270-142330-142374-142410-142772-142848-142868-142958-143150-143260-143370-143538-143582-143934-143984-144436-144502-144560-144624-144734-144872-145082-145330-145814-145904-146398-146464-146632-147038-147104-147292-147336-147618-147848-148296-148432-148528-148708-148710-148736-148994-149010-149056-149088-149714-149994-150160-150174-150220-150228-150352-150410-150454-150750-150830-150910-151226-151424-151880-152106-152126-152142-152284-152390-152548-152924-153106-153172-153390-153578-153712-153742-153832-153910-154216-154326-154376-154406-154552-154570-154610-154636-154698-154706-155082-155098-155102-155494-155788-155928-156158-156312-156382-156436-156578-156784-156874-157210-157212-157442-157998-158050-158092-158114-158180-158292-158630-158766-158774-159044-159062-159148-159394-159418-159534-159650-159826-159846-159906-159952-160032-160334-160640-160648-160736-160774-160948-161394-161410-161478-161682-161686-161782-161990-162038-162566
36,69-184
37,71
38,73-3859-4430-5540-6202-7110-7596-9890-10462-10584-11742-11744-11910-12075-13012-13538-13942-14258-14274-15552-15794-15904-16328-18336-18668-19274-19804-26396-29436-29624-31692-32048-34046-34134-34892-34954-34988-39360-47494-50356-52548-59336-71136-71186-71198-71200-71202-71204-71206-71208-71210-71212-71214-71216-71218-71800-71884-74552-78058-80288-82330-83808-87920-92062-100698-102012-102264-104610-105786-110992-110994-111154-128398-130216-133474-144158-145088-148632-149046-150658
39,78-80-210-2058-4370-22628-22984-31114-138672
40,79-81
41,83-85-109-111-117-7450
42,87-1136-2950-4992-5890-10742-17184-50334-74458-80274-94918-135626
43,89
44,90-548-626-688-949-3841-5364-5644-9182-9664-9884-11220-16340-16518-33420-46484-70056
45,91-251-430-450-534-770-968-1016-1756-1860-2144-2450-2472-2628-4126-4950-4980-5414-5708-5817-6294-6694-6994-7024-7032-7208-7226-7452-7608-7632-7812-8024-8178-8280-8650-8692-8746-9120-9506-9512-9524-9526-9576-9580-9633-9668-9766-9826-10048-10098-10364-10416-10418-10420-10422-10424-10426-10428-10500-10530-10536-10577-10620-10634-10708-10860-10878-10948-10950-11094-11096-11158-11302-11370-11404-11428-11622-11666-11836-11911-12078-12118-12186-12294-12330-12366-12370-12412-12456-12514-12714-12736-12790-12914-12926-12974-12976-13006-13068-13100-13122-13180-13220-13228-13246-13414-13436-13443-13452-13556-13584-13734-13950-13982-13992-14024-14026-14062-14334-14346-14364-14590-14674-14678-14690-14692-15014-15304-15474-15508-15834-15978-16008-16122-16174-16228-16316-16330-16362-16384-16420-16650-16740-16746-16830-16832-16860-17100-17656-17666-17670-17770-17788-17838-17952-18034-18142-18204-18214-18274-18370-18404-18624-18742-19028-19032-19062-19142-19244-19302-19312-19482-19842-20304-20308-20382-20470-20474-20564-20572-20644-20780-20934-21098-21364-21484-21522-21628-21693-21748-21884-22048-22056-22172-22298-22330-22400-22432-22556-22724-23032-23114-23228-23274-23836-23880-23920-24046-24208-24262-24412-24472-24602-24618-24658-24660-24688-24774-24820-24920-25290-25304-25350-25556-25806-25836-25932-26068-26242-26392-26438-26864-27052-27158-27236-27290-27498-27512-27678-27822-27864-27884-28004-28174-28354-28484-28506-28618-28700-28822-28912-29190-29256-29390-29704-29772-29844-29990-30010-30198-30340-30552-30734-30898-30920-31050-31102-31514-31658-31762-31898-32198-32284-32446-32608-33100-33168-33410-33606-34248-34384-34452-34518-34584-34784-34978-35196-35218-35306-35542-35876-36086-36126-36370-36380-36500-36622-36634-36656-36702-36708-36798-36822-36848-36916-37028-37068-37176-37398-37524-37638-37762-37902-37964-38030-38116-38182-38418-38512-38592-38624-38838-39072-39112-39168-39192-39350-39366-39566-39618-39682-39794-40024-40200-40324-40492-40772-40792-40882-40912-40948-41178-41332-41444-41460-41538-41870-42066-42106-42156-42190-42226-42374-42390-42558-42952-43048-43190-43338-43370-43426-43454-43456-43478-43610-43994-44254-44378-44446-44448-44712-44728-44738-44812-44870-44966-45136-45158-45210-45226-45344-45476-45640-45680-45850-45900-45908-45990-46032-46036-46558-46590-46852-46876-46919-47016-47194-47196-47550-47560-47598-47722-47974-48030-48044-48046-48062-48190-48496-48502-48720-48940-49126-49206-49280-49490-49776-49830-50072-50108-50222-50784-50796-51082-51124-51184-51474-51648-51676-51710-51834-51872-52216-52252-52332-52340-52480-52578-52740-52746-53212-53528-53862-54106-54242-54786-55010-55126-55194-55702-55986-56038-56326-56362-56396-56502-56564-56592-56746-56764-56840-57598-57624-57736-57834-57886-58438-58660-59140-59734-59738-59792-60226-60598-60946-60992-61020-61232-61370-61598-61710-61754-61768-62012-62130-62406-62444-62774-62798-63026-63214-63588-63896-63956-64060-64410-64444-64522-64760-65066-65078-65132-65442-65464-65574-65730-65792-65930-66096-66264-66272-66340-66356-66472-66546-66746-66836-66858-66928-67018-67020-67106-67110-67170-67208-67226-67232-67268-67380-67450-67604-67616-67712-67736-67852-67906-67928-68008-68126-68212-68218-68518-69070-69616-69746-69768-69812-69914-70057-70362-70418-70598-70612-70906-71070-71108-71144-71330-71456-71496-71758-71786-71908-72164-72200-72326-72382-72784-73256-73598-73990-74668-74914-75890-76020-76090-76134-76502-76526-76538-76596-76620-76658-77034-77108-77552-77586-77796-77980-78224-78716-78826-79012-79582-79754-79838-80198-80204-80332-80458-80492-80500-80594-80658-80866-81016-81318-82070-82170-82196-82254-83476-83962-84058-84164-84352-84522-84532-84542-84840-84966-84988-85106-85338-85458-85600-86076-86302-86304-86340-86826-86970-87048-87052-87070-87268-87296-87348-87466-87750-87760-87810-87934-88304-88548-88694-88784-89302-89392-89512-89752-89958-90502-90866-91132-91140-91488-91754-91960-92094-92516-92748-93094-93100-93568-93760-93810-94022-94146-94728-94886-95322-95522-95586-95964-95992-96502-96942-97168-98160-98242-98461-99060-99152-99174-99340-99400-100204-100260-100450-100556-100854-101080-101350-101540-101596-102072-102114-102440-102698-102874-102906-103268-103274-103276-103450-103530-103570-103630-103794-103984-104004-104254-104328-104700-104766-104770-105062-105414-105462-105558-105636-105838-105860-106266-106498-106628-106632-106708-106748-106862-107012-107898-107930-108102-108270-108280-108360-108652-109444-110144-110190-110406-111122-111260-111354-111420-111474-111540-111842-112470-113008-113510-113534-113732-113874-114002-114098-114142-114244-114894-115754-116344-116472-116860-117020-117352-117574-118492-118834-118942-118962-119048-119118-119452-119462-119522-119876-119952-122188-122744-123230-123386-123686-123876-123908-123950-124090-124362-124376-124450-124472-124876-125524-126612-127026-127138-127142-127384-127452-127566-127608-128202-128490-128616-128856-128862-129006-129084-129268-129386-129818-129850-130076-130292-130350-131080-131126-131498-132154-132182-132198-132336-132342-132704-132954-133140-133172-133546-133674-133698-133844-133848-134064-134144-134250-134376-135120-135820-136010-136050-136076-136100-136290-136358-136522-136574-136890-136896-137150-137322-137334-137762-137956-138422-138428-138642-139018-139192-139242-139382-139482-139518-140544-140614-140754-140934-141012-141052-141102-141222-141246-141308-141362-141722-142140-142542-143508-144242-144558-144708-145470-145514-145644-146378-146442-146544-147106-147510-147736-147872-148146-148238-148288-148532-148974-148982-149438-149542-150230-150402-150532-150746-151556-152418-152758-153112-153488-153824-153884-154136-154828-155242-155608-155910-156138-156244-156296-156384-157134-157198-157476-157544-157726-157734-158160-158848-159134-159174-159252-159460-159464-159594-160184-160406-160698-160720-161096-161480-161564-161806-161904-162016-162164-162180-162424-162438-162494
